"x"
"ENSG00000167434"
"ENSG00000137393"
"ENSG00000180871"
"ENSG00000128594"
"ENSG00000134830"
"ENSG00000103569"
"ENSG00000183019"
"ENSG00000128512"
"ENSG00000182013"
"ENSG00000163464"
"ENSG00000142512"
"ENSG00000171051"
"ENSG00000057704"
"ENSG00000137462"
"ENSG00000173868"
"ENSG00000181631"
"ENSG00000115590"
"ENSG00000175857"
"ENSG00000131355"
"ENSG00000197405"
"ENSG00000173638"
"ENSG00000197852"
"ENSG00000100034"
"ENSG00000198176"
"ENSG00000136040"
"ENSG00000153162"
"ENSG00000125505"
"ENSG00000073150"
"ENSG00000183762"
"ENSG00000008516"
"ENSG00000111490"
"ENSG00000234436"
"ENSG00000124731"
"ENSG00000110931"
"ENSG00000235568"
"ENSG00000059377"
"ENSG00000161921"
"ENSG00000162551"
"ENSG00000169891"
"ENSG00000241839"
"ENSG00000104763"
"ENSG00000107738"
"ENSG00000140678"
"ENSG00000110237"
"ENSG00000196549"
"ENSG00000176597"
"ENSG00000197249"
"ENSG00000241163"
"ENSG00000244242"
"ENSG00000134627"
"ENSG00000148180"
"ENSG00000178996"
"ENSG00000132965"
"ENSG00000180573"
"ENSG00000198223"
"ENSG00000184602"
"ENSG00000101150"
"ENSG00000035862"
"ENSG00000231412"
"ENSG00000277443"
"ENSG00000154978"
"ENSG00000157350"
"ENSG00000079277"
"ENSG00000119535"
"ENSG00000123836"
"ENSG00000004660"
"ENSG00000167173"
"ENSG00000136869"
"ENSG00000018280"
"ENSG00000140932"
"ENSG00000171049"
"ENSG00000062282"
"ENSG00000126822"
"ENSG00000274536"
"ENSG00000169403"
"ENSG00000182022"
"ENSG00000122547"
"ENSG00000182885"
"ENSG00000131724"
"ENSG00000100024"
"ENSG00000167676"
"ENSG00000204472"
"ENSG00000084110"
"ENSG00000196083"
"ENSG00000182871"
"ENSG00000198363"
"ENSG00000134815"
"ENSG00000146094"
"ENSG00000147454"
"ENSG00000105520"
"ENSG00000177191"
"ENSG00000168461"
"ENSG00000033627"
"ENSG00000221869"
"ENSG00000184292"
"ENSG00000102265"
"ENSG00000134686"
"ENSG00000172081"
"ENSG00000257335"
"ENSG00000167703"
"ENSG00000261371"
"ENSG00000171236"
"ENSG00000166825"
"ENSG00000148200"
"ENSG00000197872"
"ENSG00000269220"
"ENSG00000214688"
"ENSG00000105514"
"ENSG00000283839"
"ENSG00000005238"
"ENSG00000167987"
"ENSG00000214456"
"ENSG00000149289"
"ENSG00000123700"
"ENSG00000131042"
"ENSG00000108244"
"ENSG00000150403"
"ENSG00000149269"
"ENSG00000135838"
"ENSG00000170006"
"ENSG00000143226"
"ENSG00000196923"
"ENSG00000157600"
"ENSG00000177374"
"ENSG00000280213"
"ENSG00000141497"
"ENSG00000085514"
"ENSG00000130830"
"ENSG00000113269"
"ENSG00000174238"
"ENSG00000186431"
"ENSG00000139132"
"ENSG00000211584"
"ENSG00000198053"
"ENSG00000181274"
"ENSG00000203999"
"ENSG00000196814"
"ENSG00000188906"
"ENSG00000129657"
"ENSG00000185897"
